CF_NAME,VALUE,STAT_TYPE
__system__,0,NUM_IMMUTABLE_MEM_TABLE
__system__,0,MEM_TABLE_FLUSH_PENDING
__system__,1,COMPACTION_PENDING
__system__,26901624,CUR_SIZE_ACTIVE_MEM_TABLE
__system__,26901624,CUR_SIZE_ALL_MEM_TABLES
__system__,548110,NUM_ENTRIES_ACTIVE_MEM_TABLE
__system__,0,NUM_ENTRIES_IMM_MEM_TABLES
__system__,96,NON_BLOCK_CACHE_SST_MEM_USAGE
__system__,1,NUM_LIVE_VERSIONS
default,0,NUM_IMMUTABLE_MEM_TABLE
default,0,MEM_TABLE_FLUSH_PENDING
default,1,COMPACTION_PENDING
default,1784,CUR_SIZE_ACTIVE_MEM_TABLE
default,1784,CUR_SIZE_ALL_MEM_TABLES
default,10,NUM_ENTRIES_ACTIVE_MEM_TABLE
default,0,NUM_ENTRIES_IMM_MEM_TABLES
default,96,NON_BLOCK_CACHE_SST_MEM_USAGE
default,1,NUM_LIVE_VERSIONS

